Time,Indicator,Amount
2012-04-01,Inflation Rate ,16.5
2012-05-01,Inflation Rate ,16.4
2012-06-01,Inflation Rate ,16.0
2012-07-01,Inflation Rate ,15.3
2012-08-01,Inflation Rate ,14.3
2012-09-01,Inflation Rate ,13.3
2012-10-01,Inflation Rate ,12.0
2012-11-01,Inflation Rate ,10.7
2012-12-01,Inflation Rate ,9.4
2013-01-01,Inflation Rate ,8.2
2013-02-01,Inflation Rate ,7.2
2013-03-01,Inflation Rate ,6.3
2013-04-01,Inflation Rate ,5.6
2013-05-01,Inflation Rate ,5.0
2013-06-01,Inflation Rate ,4.6
2013-07-01,Inflation Rate ,4.4
2013-08-01,Inflation Rate ,4.5
2013-09-01,Inflation Rate ,4.8
2013-10-01,Inflation Rate ,5.1
2013-11-01,Inflation Rate ,5.4
2013-12-01,Inflation Rate ,5.7
2014-01-01,Inflation Rate ,6.0
2014-02-01,Inflation Rate ,6.2
2014-03-01,Inflation Rate ,6.4
2014-04-01,Inflation Rate ,6.6
2014-05-01,Inflation Rate ,6.9
2014-06-01,Inflation Rate ,7.1
2014-07-01,Inflation Rate ,7.2
2014-08-01,Inflation Rate ,7.3
2014-09-01,Inflation Rate ,7.2
2014-10-01,Inflation Rate ,7.1
2014-11-01,Inflation Rate ,7.0
2014-12-01,Inflation Rate ,6.9
2015-01-01,Inflation Rate ,6.7
2015-02-01,Inflation Rate ,6.6
2015-03-01,Inflation Rate ,6.6
2015-04-01,Inflation Rate ,6.7
2015-05-01,Inflation Rate ,6.7
2015-06-01,Inflation Rate ,6.6
2015-07-01,Inflation Rate ,6.5
2015-08-01,Inflation Rate ,6.3
2015-09-01,Inflation Rate ,6.3
2015-10-01,Inflation Rate ,6.3
2015-11-01,Inflation Rate ,6.4
2015-12-01,Inflation Rate ,6.6
2016-01-01,Inflation Rate ,6.8
2016-02-01,Inflation Rate ,6.9
2016-03-01,Inflation Rate ,6.9
2016-04-01,Inflation Rate ,6.7
2016-05-01,Inflation Rate ,6.6
2016-06-01,Inflation Rate ,6.5
2016-07-01,Inflation Rate ,6.4
2016-08-01,Inflation Rate ,6.5
2016-09-01,Inflation Rate ,6.5
2016-10-01,Inflation Rate ,6.5
2016-11-01,Inflation Rate ,6.4
2016-12-01,Inflation Rate ,6.3
2017-01-01,Inflation Rate ,6.3
2017-02-01,Inflation Rate ,6.4
2017-03-01,Inflation Rate ,6.8
2017-04-01,Inflation Rate ,7.2
2017-05-01,Inflation Rate ,7.8
2017-06-01,Inflation Rate ,8.1
2017-07-01,Inflation Rate ,8.2
2017-08-01,Inflation Rate ,8.4
2017-09-01,Inflation Rate ,8.4
2017-10-01,Inflation Rate ,8.3
2017-11-01,Inflation Rate ,8.2
2017-12-01,Inflation Rate ,8.0
2018-01-01,Inflation Rate ,7.8
2018-02-01,Inflation Rate ,7.4
2018-03-01,Inflation Rate ,6.9
2018-04-01,Inflation Rate ,6.2
2018-05-01,Inflation Rate ,5.6
2018-06-01,Inflation Rate ,5.2
2018-07-01,Inflation Rate ,5.0
2018-08-01,Inflation Rate ,4.6
2018-09-01,Inflation Rate ,4.5
2018-10-01,Inflation Rate ,4.5
2018-11-01,Inflation Rate ,4.6
2018-12-01,Inflation Rate ,4.7
2019-01-01,Inflation Rate ,4.7
2019-02-01,Inflation Rate ,4.7
2019-03-01,Inflation Rate ,4.7
2019-04-01,Inflation Rate ,4.9
2019-05-01,Inflation Rate ,5.0
2019-06-01,Inflation Rate ,5.2
2019-07-01,Inflation Rate ,5.3
2019-08-01,Inflation Rate ,5.4
2019-09-01,Inflation Rate ,5.2
2019-10-01,Inflation Rate ,5.2
2019-11-01,Inflation Rate ,5.2
2019-12-01,Inflation Rate ,5.2
2020-01-01,Inflation Rate ,5.3
2020-02-01,Inflation Rate ,5.7
2020-03-01,Inflation Rate ,5.8
2020-04-01,Inflation Rate ,6.0
2020-05-01,Inflation Rate ,6.2
2020-06-01,Inflation Rate ,6.2
2020-07-01,Inflation Rate ,6.0
2020-08-01,Inflation Rate ,5.9
2020-09-01,Inflation Rate ,5.8
2020-10-01,Inflation Rate ,5.7
2020-11-01,Inflation Rate ,5.5
2020-12-01,Inflation Rate ,5.4
2021-01-01,Inflation Rate ,5.7
2021-02-01,Inflation Rate ,5.2
2021-03-01,Inflation Rate ,5.2
2021-04-01,Inflation Rate ,4.7
2021-05-01,Inflation Rate ,5.2
2021-06-01,Inflation Rate ,5.4
2021-07-01,Inflation Rate ,5.5
2021-08-01,Inflation Rate ,5.7
2021-09-01,Inflation Rate ,5.4
2021-10-01,Inflation Rate ,6.1
2021-11-01,Inflation Rate ,6.1
2021-12-01,Inflation Rate ,5.6
2022-01-01,Inflation Rate ,6.1
2022-02-01,Inflation Rate ,6.2
2022-03-01,Inflation Rate ,6.3
2022-04-01,Inflation Rate ,6.1
2022-05-01,Inflation Rate ,6.2
2022-06-01,Inflation Rate ,6.3
2022-07-01,Inflation Rate ,6.5
2022-08-01,Inflation Rate ,6.6
2022-09-01,Inflation Rate ,6.8
2022-10-01,Inflation Rate ,7.5
2022-11-01,Inflation Rate ,7.4
2022-12-01,Inflation Rate ,7.7
2023-01-01,Inflation Rate ,8.0
2023-02-01,Inflation Rate ,8.3
2023-03-01,Inflation Rate ,8.6
2023-04-01,Inflation Rate ,8.7
2023-05-01,Inflation Rate ,8.8
2023-06-01,Inflation Rate ,8.8
2023-07-01,Inflation Rate ,8.7
2023-08-01,Inflation Rate ,8.5
2023-09-01,Inflation Rate ,8.3
2023-10-01,Inflation Rate ,8.1
2023-11-01,Inflation Rate ,7.9
2023-12-01,Inflation Rate ,7.7
2024-01-01,Inflation Rate ,7.5
2024-02-01,Inflation Rate ,7.3
2024-03-01,Inflation Rate ,7.0
2024-04-01,Inflation Rate ,6.7
2024-05-01,Inflation Rate ,6.5
2024-06-01,Inflation Rate ,4.6
2024-07-01,Inflation Rate ,6.0
2024-08-01,Inflation Rate ,5.8
2024-09-01,Inflation Rate ,5.5
2024-10-01,Inflation Rate ,5.1
2024-11-01,Inflation Rate ,4.8
2024-12-01,Inflation Rate ,4.5
2025-01-01,Inflation Rate ,4.2
2025-02-01,Inflation Rate ,4.0
2025-03-01,Inflation Rate ,3.8
2025-04-01,Inflation Rate ,3.7
2008-08-01,Interest Rate,9.0
2008-09-01,Interest Rate,9.0
2008-10-01,Interest Rate,9.0
2008-12-01,Interest Rate,8.5
2009-01-01,Interest Rate,8.5
2009-03-01,Interest Rate,8.3
2009-05-01,Interest Rate,8.0
2009-07-01,Interest Rate,7.8
2009-09-01,Interest Rate,7.8
2009-11-01,Interest Rate,7.0
2010-01-01,Interest Rate,7.0
2010-03-01,Interest Rate,6.8
2010-05-01,Interest Rate,6.8
2010-07-01,Interest Rate,6.0
2010-08-01,Interest Rate,6.0
2010-09-01,Interest Rate,6.0
2010-11-01,Interest Rate,6.0
2011-01-01,Interest Rate,5.8
2011-03-01,Interest Rate,6.0
2011-05-01,Interest Rate,6.3
2011-07-01,Interest Rate,6.3
2011-09-01,Interest Rate,7.0
2011-10-01,Interest Rate,11.0
2011-11-01,Interest Rate,16.5
2011-12-01,Interest Rate,18.0
2012-01-01,Interest Rate,18.0
2012-02-01,Interest Rate,18.0
2012-03-01,Interest Rate,18.0
2012-04-01,Interest Rate,18.0
2012-05-01,Interest Rate,18.0
2012-06-01,Interest Rate,18.0
2012-07-01,Interest Rate,16.5
2012-09-01,Interest Rate,13.0
2012-11-01,Interest Rate,11.0
2013-01-01,Interest Rate,9.5
2013-03-01,Interest Rate,9.5
2013-05-01,Interest Rate,8.5
2013-07-01,Interest Rate,8.5
2013-09-01,Interest Rate,8.5
2013-11-01,Interest Rate,8.5
2014-01-01,Interest Rate,8.5
2014-03-01,Interest Rate,8.5
2014-04-01,Interest Rate,8.5
2014-07-01,Interest Rate,8.5
2014-09-01,Interest Rate,8.5
2014-11-01,Interest Rate,8.5
2015-01-01,Interest Rate,8.5
2015-02-01,Interest Rate,8.5
2015-03-01,Interest Rate,8.5
2015-04-01,Interest Rate,8.5
2015-05-01,Interest Rate,8.5
2015-06-01,Interest Rate,10.0
2015-07-01,Interest Rate,11.5
2015-08-01,Interest Rate,11.5
2015-09-01,Interest Rate,11.5
2015-10-01,Interest Rate,11.5
2015-11-01,Interest Rate,11.5
2015-12-01,Interest Rate,11.5
2016-01-01,Interest Rate,11.5
2016-02-01,Interest Rate,11.5
2016-03-01,Interest Rate,11.5
2016-04-01,Interest Rate,11.5
2016-05-01,Interest Rate,10.5
2016-06-01,Interest Rate,10.5
2016-07-01,Interest Rate,10.5
2016-08-01,Interest Rate,10.5
2016-09-01,Interest Rate,10.0
2016-10-01,Interest Rate,10.0
2016-11-01,Interest Rate,10.0
2016-12-01,Interest Rate,10.0
2017-01-01,Interest Rate,10.0
2017-02-01,Interest Rate,10.0
2017-03-01,Interest Rate,10.0
2017-04-01,Interest Rate,10.0
2017-05-01,Interest Rate,10.0
2017-06-01,Interest Rate,10.0
2017-07-01,Interest Rate,10.0
2017-08-01,Interest Rate,10.0
2017-09-01,Interest Rate,10.0
2017-10-01,Interest Rate,10.0
2017-11-01,Interest Rate,10.0
2017-12-01,Interest Rate,10.0
2018-01-01,Interest Rate,10.0
2018-02-01,Interest Rate,10.0
2018-03-01,Interest Rate,9.5
2018-04-01,Interest Rate,9.5
2018-05-01,Interest Rate,9.5
2018-06-01,Interest Rate,9.5
2018-07-01,Interest Rate,9.0
2018-08-01,Interest Rate,9.0
2018-09-01,Interest Rate,9.0
2018-10-01,Interest Rate,9.0
2018-11-01,Interest Rate,9.0
2018-12-01,Interest Rate,9.0
2019-01-01,Interest Rate,9.0
2019-02-01,Interest Rate,9.0
2019-03-01,Interest Rate,9.0
2019-04-01,Interest Rate,9.0
2019-05-01,Interest Rate,9.0
2019-06-01,Interest Rate,9.0
2019-07-01,Interest Rate,9.0
2019-08-01,Interest Rate,9.0
2019-09-01,Interest Rate,9.0
2019-10-01,Interest Rate,9.0
2019-11-01,Interest Rate,8.5
2019-12-01,Interest Rate,8.5
2020-01-01,Interest Rate,8.3
2020-02-01,Interest Rate,8.3
2020-03-01,Interest Rate,7.3
2020-04-01,Interest Rate,7.0
2020-05-01,Interest Rate,7.0
2020-06-01,Interest Rate,7.0
2020-07-01,Interest Rate,7.0
2020-08-01,Interest Rate,7.0
2020-09-01,Interest Rate,7.0
2020-10-01,Interest Rate,7.0
2020-11-01,Interest Rate,7.0
2020-12-01,Interest Rate,7.0
2021-01-01,Interest Rate,7.0
2021-02-01,Interest Rate,7.0
2021-03-01,Interest Rate,7.0
2021-04-01,Interest Rate,7.0
2021-05-01,Interest Rate,7.0
2021-06-01,Interest Rate,7.0
2021-07-01,Interest Rate,7.0
2021-08-01,Interest Rate,7.0
2021-09-01,Interest Rate,7.0
2021-10-01,Interest Rate,7.0
2021-11-01,Interest Rate,7.0
2021-12-01,Interest Rate,7.0
2022-01-01,Interest Rate,7.0
2022-02-01,Interest Rate,7.0
2022-03-01,Interest Rate,7.0
2022-04-01,Interest Rate,7.0
2022-05-01,Interest Rate,7.5
2022-06-01,Interest Rate,7.5
2022-07-01,Interest Rate,7.5
2022-08-01,Interest Rate,7.5
2022-09-01,Interest Rate,8.3
2022-10-01,Interest Rate,8.3
2022-11-01,Interest Rate,8.8
2022-12-01,Interest Rate,8.8
2023-01-01,Interest Rate,8.8
2023-02-01,Interest Rate,8.8
2023-03-01,Interest Rate,9.5
2023-04-01,Interest Rate,9.5
2023-05-01,Interest Rate,9.5
2023-06-01,Interest Rate,10.5
2023-07-01,Interest Rate,10.5
2023-08-01,Interest Rate,10.5
2023-09-01,Interest Rate,10.5
2023-10-01,Interest Rate,10.5
2023-11-01,Interest Rate,10.5
2023-12-01,Interest Rate,12.5
2024-01-01,Interest Rate,12.5
2024-02-01,Interest Rate,13.0
2024-03-01,Interest Rate,13.0
2024-04-01,Interest Rate,13.0
2024-05-01,Interest Rate,13.0
2024-06-01,Interest Rate,13.0
2024-08-01,Interest Rate,12.8
2024-09-01,Interest Rate,12.8
2024-10-01,Interest Rate,12.0
2024-11-01,Interest Rate,12.0
2024-12-01,Interest Rate,11.3
2025-01-01,Interest Rate,11.3
2025-02-01,Interest Rate,10.8
2025-03-01,Interest Rate,10.8
2019-01-01,Labour Force,17727199.0
2019-04-01,Labour Force,18669260.0
2019-07-01,Labour Force,18811024.0
2019-10-01,Labour Force,19032617.0
2020-01-01,Labour Force,18548627.0
2020-04-01,Labour Force,17712275.0
2020-07-01,Labour Force,19043176.0
2020-10-01,Labour Force,19130994.0
2021-01-01,Labour Force,19106156.0
2021-04-01,Labour Force,19011744.0
2021-07-01,Labour Force,18740306.0
2021-10-01,Labour Force,18716433.0
2022-01-01,Labour Force,18908915.0
2022-04-01,Labour Force,19000258.0
2022-07-01,Labour Force,19113051.0
2022-10-01,Labour Force,19398165.0
2000-01-01,Nominal GDP,967838.0
2001-01-01,Nominal GDP,1020022.0
2002-01-01,Nominal GDP,1035374.0
2003-01-01,Nominal GDP,1131783.0
2004-01-01,Nominal GDP,1274328.0
2005-01-01,Nominal GDP,1415823.0
2006-01-01,Nominal GDP,1622565.0
2007-01-01,Nominal GDP,1833511.0
2008-01-01,Nominal GDP,2107589.0
2009-01-01,Nominal GDP,3275642.0
2010-01-01,Nominal GDP,3597630.0
2011-01-01,Nominal GDP,4162514.0
2012-01-01,Nominal GDP,4767191.0
2013-01-01,Nominal GDP,5311322.0
2014-01-01,Nominal GDP,6003835.0
2015-01-01,Nominal GDP,6884317.0
2016-01-01,Nominal GDP,7594064.0
2017-01-01,Nominal GDP,8483396.0
2018-01-01,Nominal GDP,9340307.0
2019-01-01,Nominal GDP,10237727.3
2020-01-01,Nominal GDP,10715070.0
2021-01-01,Nominal GDP,12027661.5
2022-01-01,Nominal GDP,13489641.5
2023-01-01,Nominal GDP,15108805.9
2009-01-01,Nominal GDP,700391.0
2009-04-01,Nominal GDP,715182.0
2009-07-01,Nominal GDP,713824.0
2009-10-01,Nominal GDP,734292.0
2010-01-01,Nominal GDP,801602.0
2010-04-01,Nominal GDP,782012.0
2010-07-01,Nominal GDP,776062.0
2010-10-01,Nominal GDP,809666.0
2011-01-01,Nominal GDP,922013.0
2011-04-01,Nominal GDP,922291.0
2011-07-01,Nominal GDP,917315.0
2011-10-01,Nominal GDP,964459.0
2012-01-01,Nominal GDP,1078518.0
2012-04-01,Nominal GDP,1059659.0
2012-07-01,Nominal GDP,1037165.0
2012-10-01,Nominal GDP,1079456.0
2013-01-01,Nominal GDP,1202840.0
2013-04-01,Nominal GDP,1190794.0
2013-07-01,Nominal GDP,1184844.0
2013-10-01,Nominal GDP,1179081.0
2014-01-01,Nominal GDP,1361990.0
2014-04-01,Nominal GDP,1363319.0
2014-07-01,Nominal GDP,1351363.0
2014-10-01,Nominal GDP,1325976.0
2015-01-01,Nominal GDP,1570446.0
2015-04-01,Nominal GDP,1601347.0
2015-07-01,Nominal GDP,1581026.0
2015-10-01,Nominal GDP,1531366.0
2016-01-01,Nominal GDP,1675988.0
2016-04-01,Nominal GDP,1873531.0
2016-07-01,Nominal GDP,1803711.0
2016-10-01,Nominal GDP,1669733.0
2017-01-01,Nominal GDP,2052827.0
2017-04-01,Nominal GDP,2136836.0
2017-07-01,Nominal GDP,2077887.0
2017-10-01,Nominal GDP,1876823.0
2018-01-01,Nominal GDP,2243091.0
2018-04-01,Nominal GDP,2309561.0
2018-07-01,Nominal GDP,2260084.0
2018-10-01,Nominal GDP,2092248.0
2019-01-01,Nominal GDP,2483110.0
2019-04-01,Nominal GDP,2596326.0
2019-07-01,Nominal GDP,2562716.0
2019-10-01,Nominal GDP,2595574.0
2020-01-01,Nominal GDP,2749038.0
2020-04-01,Nominal GDP,2619046.0
2020-07-01,Nominal GDP,2536922.0
2020-10-01,Nominal GDP,2810064.0
2021-01-01,Nominal GDP,2914789.0
2021-04-01,Nominal GDP,2994307.0
2021-07-01,Nominal GDP,2942831.0
2021-10-01,Nominal GDP,3175735.0
2022-01-01,Nominal GDP,3300289.0
2022-04-01,Nominal GDP,3392732.0
2022-07-01,Nominal GDP,3316756.0
2022-10-01,Nominal GDP,3479865.0
2023-01-01,Nominal GDP,3759818.0
2023-04-01,Nominal GDP,3842669.0
2023-07-01,Nominal GDP,3671163.0
2023-10-01,Nominal GDP,3835156.0
2024-01-01,Nominal GDP,4044263.0
2024-04-01,Nominal GDP,4109190.0
2024-07-01,Nominal GDP,3974811.0
2019-01-01,Population,26593769.0
2019-04-01,Population,26772413.0
2019-07-01,Population,26951054.0
2019-10-01,Population,27129695.0
2020-01-01,Population,27308334.0
2020-04-01,Population,27486975.0
2020-07-01,Population,27665619.0
2020-10-01,Population,27844257.0
2021-01-01,Population,28028495.0
2021-04-01,Population,28060159.0
2021-07-01,Population,28186264.0
2021-10-01,Population,28312936.0
2022-01-01,Population,28464189.0
2022-04-01,Population,28591066.0
2022-07-01,Population,28938083.0
2022-10-01,Population,29066237.0
2000-01-01,Real GDP,982855.0
2001-01-01,Real GDP,1020111.0
2002-01-01,Real GDP,1025583.0
2003-01-01,Real GDP,1055658.0
2004-01-01,Real GDP,1109338.0
2005-01-01,Real GDP,1172784.0
2006-01-01,Real GDP,1249470.0
2007-01-01,Real GDP,1336849.0
2008-01-01,Real GDP,1357262.0
2009-01-01,Real GDP,5361462.0
2010-01-01,Real GDP,5793514.0
2011-01-01,Real GDP,6090206.0
2012-01-01,Real GDP,6368448.0
2013-01-01,Real GDP,6610312.0
2014-01-01,Real GDP,6942157.0
2015-01-01,Real GDP,7287024.0
2016-01-01,Real GDP,7594064.0
2017-01-01,Real GDP,7885521.0
2018-01-01,Real GDP,8330891.0
2019-01-01,Real GDP,8756945.6
2020-01-01,Real GDP,8733060.3
2021-01-01,Real GDP,9395942.1
2022-01-01,Real GDP,9852582.9
2023-01-01,Real GDP,10399980.2
2009-01-01,Real GDP,1335552.0
2009-04-01,Real GDP,1325092.0
2009-07-01,Real GDP,1335249.0
2009-10-01,Real GDP,1365569.0
2010-01-01,Real GDP,1434652.0
2010-04-01,Real GDP,1438303.0
2010-07-01,Real GDP,1435568.0
2010-10-01,Real GDP,1484991.0
2011-01-01,Real GDP,1518671.0
2011-04-01,Real GDP,1515704.0
2011-07-01,Real GDP,1513683.0
2011-10-01,Real GDP,1542149.0
2012-01-01,Real GDP,1578240.0
2012-04-01,Real GDP,1588229.0
2012-07-01,Real GDP,1589858.0
2012-10-01,Real GDP,1612121.0
2013-01-01,Real GDP,1634472.0
2013-04-01,Real GDP,1663371.0
2013-07-01,Real GDP,1648735.0
2013-10-01,Real GDP,1663734.0
2014-01-01,Real GDP,1713837.0
2014-04-01,Real GDP,1761200.0
2014-07-01,Real GDP,1732574.0
2014-10-01,Real GDP,1734546.0
2015-01-01,Real GDP,1796031.0
2015-04-01,Real GDP,1849061.0
2015-07-01,Real GDP,1814660.0
2015-10-01,Real GDP,1827273.0
2016-01-01,Real GDP,1865055.0
2016-04-01,Real GDP,1918939.0
2016-07-01,Real GDP,1895281.0
2016-10-01,Real GDP,1914788.0
2017-01-01,Real GDP,1965433.0
2017-04-01,Real GDP,1981729.0
2017-07-01,Real GDP,1956820.0
2017-10-01,Real GDP,1981540.0
2018-01-01,Real GDP,2067442.0
2018-04-01,Real GDP,2101774.0
2018-07-01,Real GDP,2060536.0
2018-10-01,Real GDP,2101139.0
2019-01-01,Real GDP,2167476.0
2019-04-01,Real GDP,2227491.0
2019-07-01,Real GDP,2163432.0
2019-10-01,Real GDP,2198547.0
2020-01-01,Real GDP,2266843.0
2020-04-01,Real GDP,2136855.0
2020-07-01,Real GDP,2086577.0
2020-10-01,Real GDP,2242786.0
2021-01-01,Real GDP,2320156.0
2021-04-01,Real GDP,2357637.0
2021-07-01,Real GDP,2281713.0
2021-10-01,Real GDP,2436437.0
2022-01-01,Real GDP,2458406.0
2022-04-01,Real GDP,2473475.0
2022-07-01,Real GDP,2386457.0
2022-10-01,Real GDP,2534246.0
2023-01-01,Real GDP,2591391.0
2023-04-01,Real GDP,2612386.0
2023-07-01,Real GDP,2530285.0
2023-10-01,Real GDP,2665918.0
2024-01-01,Real GDP,2720702.0
2000-06-01,Revenue,178443.0
2000-07-01,Revenue,11615.0
2000-08-01,Revenue,26603.0
2000-09-01,Revenue,44272.0
2000-10-01,Revenue,59000.0
2000-11-01,Revenue,74580.0
2000-12-01,Revenue,90365.0
2001-01-01,Revenue,107283.0
2001-02-01,Revenue,123180.0
2001-03-01,Revenue,140806.0
2001-04-01,Revenue,154829.0
2001-05-01,Revenue,177551.0
2001-06-01,Revenue,194713.0
2001-07-01,Revenue,11765.0
2001-08-01,Revenue,28323.0
2001-09-01,Revenue,44241.0
2001-10-01,Revenue,58784.0
2001-11-01,Revenue,75369.0
2001-12-01,Revenue,90774.0
2002-01-01,Revenue,107060.0
2002-02-01,Revenue,123569.0
2002-03-01,Revenue,137682.0
2002-04-01,Revenue,156449.0
2002-05-01,Revenue,174561.0
2002-06-01,Revenue,197768.0
2002-07-01,Revenue,12931.0
2002-08-01,Revenue,28386.0
2002-09-01,Revenue,45852.0
2002-10-01,Revenue,61375.0
2002-11-01,Revenue,77301.0
2002-12-01,Revenue,96488.0
2003-01-01,Revenue,114306.0
2003-02-01,Revenue,135563.0
2003-03-01,Revenue,151085.0
2003-04-01,Revenue,170199.0
2003-05-01,Revenue,187331.0
2003-06-01,Revenue,210750.0
2003-07-01,Revenue,15055.0
2003-08-01,Revenue,31375.0
2003-09-01,Revenue,51865.0
2003-10-01,Revenue,69253.0
2003-11-01,Revenue,86309.0
2003-12-01,Revenue,111545.0
2004-01-01,Revenue,130095.0
2004-02-01,Revenue,148443.0
2004-03-01,Revenue,169704.0
2004-04-01,Revenue,195707.0
2004-05-01,Revenue,216212.0
2004-06-01,Revenue,254681.0
2004-07-01,Revenue,16815.0
2004-08-01,Revenue,37150.0
2004-09-01,Revenue,60636.0
2004-10-01,Revenue,85625.0
2004-11-01,Revenue,108541.0
2004-12-01,Revenue,138944.0
2005-01-01,Revenue,165646.0
2005-02-01,Revenue,185519.0
2005-03-01,Revenue,208765.0
2005-04-01,Revenue,232806.0
2005-05-01,Revenue,254180.0
2005-06-01,Revenue,289802.0
2005-07-01,Revenue,15481.0
2005-08-01,Revenue,37412.0
2005-09-01,Revenue,64944.0
2005-10-01,Revenue,90921.0
2005-11-01,Revenue,111605.0
2005-12-01,Revenue,142615.0
2006-01-01,Revenue,169821.0
2006-02-01,Revenue,190226.0
2006-03-01,Revenue,217152.0
2006-04-01,Revenue,240990.0
2006-05-01,Revenue,273491.0
2006-06-01,Revenue,313595.6
2006-07-01,Revenue,22645.8
2006-08-01,Revenue,46458.0
2006-09-01,Revenue,75557.0
2006-10-01,Revenue,104171.0
2006-11-01,Revenue,128657.0
2006-12-01,Revenue,162438.8
2007-01-01,Revenue,195320.0
2007-02-01,Revenue,221743.0
2007-03-01,Revenue,256714.0
2007-04-01,Revenue,290445.0
2007-05-01,Revenue,327955.0
2007-06-01,Revenue,373030.0
2007-07-01,Revenue,33516.0
2007-08-01,Revenue,64797.0
2007-09-01,Revenue,96010.0
2007-10-01,Revenue,130402.0
2007-11-01,Revenue,162583.0
2007-12-01,Revenue,203731.0
2008-01-01,Revenue,241522.0
2008-02-01,Revenue,269306.0
2008-03-01,Revenue,308283.0
2008-04-01,Revenue,346191.0
2008-05-01,Revenue,381631.0
2008-06-01,Revenue,432220.0
2008-07-01,Revenue,33552.0
2008-08-01,Revenue,66228.0
2008-09-01,Revenue,108886.0
2008-10-01,Revenue,146247.0
2008-11-01,Revenue,180260.0
2008-12-01,Revenue,231761.0
2009-01-01,Revenue,271194.0
2009-02-01,Revenue,309245.0
2009-03-01,Revenue,344225.0
2009-04-01,Revenue,392555.0
2009-05-01,Revenue,432440.0
2009-06-01,Revenue,487893.0
2009-07-01,Revenue,38062.0
2009-08-01,Revenue,72271.0
2009-09-01,Revenue,126653.0
2009-10-01,Revenue,167310.0
2009-11-01,Revenue,204464.0
2009-12-01,Revenue,257314.0
2010-01-01,Revenue,304531.0
2010-02-01,Revenue,340684.0
2010-03-01,Revenue,387689.0
2010-04-01,Revenue,440273.0
2010-05-01,Revenue,485203.0
2010-06-01,Revenue,586377.0
2010-07-01,Revenue,38539.0
2010-08-01,Revenue,82086.0
2010-09-01,Revenue,132869.0
2010-10-01,Revenue,187901.0
2010-11-01,Revenue,236403.0
2010-12-01,Revenue,294862.0
2011-01-01,Revenue,350725.0
2011-02-01,Revenue,394540.0
2011-03-01,Revenue,446566.0
2011-04-01,Revenue,511392.0
2011-05-01,Revenue,565787.0
2011-06-01,Revenue,660764.0
2011-07-01,Revenue,39362.0
2011-08-01,Revenue,84400.0
2011-09-01,Revenue,147052.0
2011-10-01,Revenue,193738.0
2011-11-01,Revenue,243139.0
2011-12-01,Revenue,314838.6
2012-01-01,Revenue,362116.0
2012-02-01,Revenue,409577.0
2012-03-01,Revenue,465169.0
2012-04-01,Revenue,534442.0
2012-05-01,Revenue,597295.0
2012-06-01,Revenue,690732.0
2012-07-01,Revenue,43189.4
2012-08-01,Revenue,97343.3
2012-09-01,Revenue,162004.0
2012-10-01,Revenue,216270.6
2012-11-01,Revenue,280959.4
2012-12-01,Revenue,359083.3
2013-01-01,Revenue,419576.4
2013-02-01,Revenue,473286.2
2013-03-01,Revenue,531592.3
2013-04-01,Revenue,658999.3
2013-05-01,Revenue,695046.4
2013-06-01,Revenue,822667.0
2013-07-01,Revenue,58577.4
2013-08-01,Revenue,128122.3
2013-09-01,Revenue,213567.0
2013-10-01,Revenue,288676.1
2013-11-01,Revenue,364090.3
2013-12-01,Revenue,460602.4
2014-01-01,Revenue,538800.9
2014-02-01,Revenue,587105.2
2014-03-01,Revenue,681576.8
2014-04-01,Revenue,779013.4
2014-05-01,Revenue,860159.9
2014-06-01,Revenue,969162.2
2014-07-01,Revenue,89730.2
2014-08-01,Revenue,167580.2
2014-09-01,Revenue,261501.0
2014-10-01,Revenue,352272.6
2014-11-01,Revenue,416130.2
2014-12-01,Revenue,536765.6
2015-01-01,Revenue,611056.3
2015-02-01,Revenue,692787.7
2015-03-01,Revenue,764567.3
2015-04-01,Revenue,878398.3
2015-05-01,Revenue,958765.8
2015-06-01,Revenue,1083161.9
2015-07-01,Revenue,81207.6
2015-08-01,Revenue,162190.8
2015-09-01,Revenue,276994.1
2015-10-01,Revenue,365483.7
2015-11-01,Revenue,451285.7
2015-12-01,Revenue,575240.0
2016-01-01,Revenue,670940.5
2016-02-01,Revenue,680877.9
2016-03-01,Revenue,852379.9
2016-04-01,Revenue,973261.9
2016-05-01,Revenue,1084865.5
2016-06-01,Revenue,1222014.7
2016-07-01,Revenue,88693.7
2016-08-01,Revenue,196788.8
2016-09-01,Revenue,316169.5
2016-10-01,Revenue,405291.4
2016-11-01,Revenue,512733.5
2016-12-01,Revenue,669335.1
2017-01-01,Revenue,772694.6
2017-02-01,Revenue,869721.0
2017-03-01,Revenue,974707.6
2017-04-01,Revenue,1106128.1
2017-05-01,Revenue,1251247.5
2017-06-01,Revenue,1397100.2
2017-07-01,Revenue,95411.9
2017-08-01,Revenue,204026.1
2017-09-01,Revenue,344877.8
2017-10-01,Revenue,444058.0
2017-11-01,Revenue,558394.9
2017-12-01,Revenue,706224.7
2018-01-01,Revenue,840619.0
2018-02-01,Revenue,933489.5
2018-03-01,Revenue,1047775.7
2018-04-01,Revenue,1175162.2
2018-05-01,Revenue,1307717.0
2018-06-01,Revenue,1487227.1
2018-07-01,Revenue,110155.5
2018-08-01,Revenue,227106.3
2018-09-01,Revenue,365994.9
2018-10-01,Revenue,489802.8
2018-11-01,Revenue,619006.9
2018-12-01,Revenue,794652.7
2019-01-01,Revenue,924807.0
2019-02-01,Revenue,1032822.5
